Candidate Name,Party Name,Office Name,Town Name,Vote Totals,Local District
Cooper and Meyer,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Cummings and Romanoff,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Cummings and Romanoff,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Deame and Long,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Deame and Long,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Evans and Fitch,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Evans and Fitch,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Fox and Kushner,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Fox and Kushner,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Hoefling and Schulin,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Hoefling and Schulin,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
La Riva and Puryear,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
La Riva and Puryear,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Maldonado and Terranova,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Maldonado and Terranova,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
McMullin and Johnson,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
McMullin and Johnson,Write-In,Presidential Electors for,Milford,3,John F Kennedy School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Milford,1,John F Kennedy School
Skewes and Lacy,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Skewes and Lacy,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Smith and White,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Smith and White,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Wu and Wu,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Wu and Wu,Write-In,Presidential Electors for,Milford,0,John F Kennedy School
Clinton and Kaine,Democratic Party,Presidential Electors for,Milford,2606,Joseph A Foran High School
Trump and Pence,Republican Party,Presidential Electors for,Milford,2470,Joseph A Foran High School
Johnson and Weld,Libertarian Party,Presidential Electors for,Milford,147,Joseph A Foran High School
Stein and Baraka,Green Party,Presidential Electors for,Milford,48,Joseph A Foran High School
Basiago and Kinnison,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Blumenthal and Blair,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Buchanan and Washington,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Castle and Bradley,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Cooper and Meyer,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Cummings and Romanoff,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Deame and Long,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Evans and Fitch,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Fox and Kushner,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Hoefling and Schulin,Write-In,Presidential Electors for,Milford,1,Joseph A Foran High School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
La Riva and Puryear,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Maldonado and Terranova,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
McMullin and Johnson,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Skewes and Lacy,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Smith and White,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Wu and Wu,Write-In,Presidential Electors for,Milford,0,Joseph A Foran High School
Clinton and Kaine,Democratic Party,Presidential Electors for,Milford,1054,Margaret S Egan Center
Trump and Pence,Republican Party,Presidential Electors for,Milford,1035,Margaret S Egan Center
Johnson and Weld,Libertarian Party,Presidential Electors for,Milford,53,Margaret S Egan Center
Stein and Baraka,Green Party,Presidential Electors for,Milford,36,Margaret S Egan Center
Basiago and Kinnison,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Blumenthal and Blair,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Buchanan and Washington,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Castle and Bradley,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Cooper and Meyer,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Cummings and Romanoff,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Deame and Long,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
De La Fuente and Steinberg,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Evans and Fitch,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Fox and Kushner,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Hoefling and Schulin,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Kotlikoff and Leamer,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
La Riva and Puryear,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Maldonado and Terranova,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
McMullin and Johnson,Write-In,Presidential Electors for,Milford,3,Margaret S Egan Center
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Skewes and Lacy,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Smith and White,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Wu and Wu,Write-In,Presidential Electors for,Milford,0,Margaret S Egan Center
Clinton and Kaine,Democratic Party,Presidential Electors for,Milford,1579,Meadowside School
Trump and Pence,Republican Party,Presidential Electors for,Milford,1330,Meadowside School
Johnson and Weld,Libertarian Party,Presidential Electors for,Milford,97,Meadowside School
Stein and Baraka,Green Party,Presidential Electors for,Milford,46,Meadowside School
Basiago and Kinnison,Write-In,Presidential Electors for,Milford,0,Meadowside School
Blumenthal and Blair,Write-In,Presidential Electors for,Milford,0,Meadowside School
Buchanan and Washington,Write-In,Presidential Electors for,Milford,0,Meadowside School
Castle and Bradley,Write-In,Presidential Electors for,Milford,0,Meadowside School
Cooper and Meyer,Write-In,Presidential Electors for,Milford,0,Meadowside School
Cummings and Romanoff,Write-In,Presidential Electors for,Milford,0,Meadowside School
Deame and Long,Write-In,Presidential Electors for,Milford,0,Meadowside School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Milford,0,Meadowside School
Evans and Fitch,Write-In,Presidential Electors for,Milford,0,Meadowside School
Fox and Kushner,Write-In,Presidential Electors for,Milford,0,Meadowside School
Hoefling and Schulin,Write-In,Presidential Electors for,Milford,3,Meadowside School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Milford,0,Meadowside School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Milford,0,Meadowside School
La Riva and Puryear,Write-In,Presidential Electors for,Milford,0,Meadowside School
Maldonado and Terranova,Write-In,Presidential Electors for,Milford,0,Meadowside School
McMullin and Johnson,Write-In,Presidential Electors for,Milford,6,Meadowside School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Milford,0,Meadowside School
Skewes and Lacy,Write-In,Presidential Electors for,Milford,0,Meadowside School
Smith and White,Write-In,Presidential Electors for,Milford,0,Meadowside School
Wu and Wu,Write-In,Presidential Electors for,Milford,0,Meadowside School
Clinton and Kaine,Democratic Party,Presidential Electors for,Milford,1608,Orange Avenue School
Trump and Pence,Republican Party,Presidential Electors for,Milford,2036,Orange Avenue School
Johnson and Weld,Libertarian Party,Presidential Electors for,Milford,88,Orange Avenue School
Stein and Baraka,Green Party,Presidential Electors for,Milford,39,Orange Avenue School
Basiago and Kinnison,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Blumenthal and Blair,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Buchanan and Washington,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Castle and Bradley,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Cooper and Meyer,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Cummings and Romanoff,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Deame and Long,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Evans and Fitch,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Fox and Kushner,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Hoefling and Schulin,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
La Riva and Puryear,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Maldonado and Terranova,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
McMullin and Johnson,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Skewes and Lacy,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Smith and White,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Wu and Wu,Write-In,Presidential Electors for,Milford,0,Orange Avenue School
Clinton and Kaine,Democratic Party,Presidential Electors for,Milford,1604,West Shore Recreation Center
Trump and Pence,Republican Party,Presidential Electors for,Milford,1444,West Shore Recreation Center
Johnson and Weld,Libertarian Party,Presidential Electors for,Milford,82,West Shore Recreation Center
Stein and Baraka,Green Party,Presidential Electors for,Milford,43,West Shore Recreation Center
Basiago and Kinnison,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Blumenthal and Blair,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Buchanan and Washington,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Castle and Bradley,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Cooper and Meyer,Write-In,Presidential Electors for,Milford,1,West Shore Recreation Center
Cummings and Romanoff,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Deame and Long,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
De La Fuente and Steinberg,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Evans and Fitch,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Fox and Kushner,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Hoefling and Schulin,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Kotlikoff and Leamer,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
La Riva and Puryear,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Maldonado and Terranova,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
McMullin and Johnson,Write-In,Presidential Electors for,Milford,3,West Shore Recreation Center
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Skewes and Lacy,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Smith and White,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Wu and Wu,Write-In,Presidential Electors for,Milford,0,West Shore Recreation Center
Clinton and Kaine,Democratic Party,Presidential Electors for,Monroe,1620,Fawn Hollow School
Trump and Pence,Republican Party,Presidential Electors for,Monroe,1881,Fawn Hollow School
Johnson and Weld,Libertarian Party,Presidential Electors for,Monroe,120,Fawn Hollow School
Stein and Baraka,Green Party,Presidential Electors for,Monroe,31,Fawn Hollow School
Basiago and Kinnison,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Blumenthal and Blair,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Buchanan and Washington,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Castle and Bradley,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Cooper and Meyer,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Cummings and Romanoff,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Deame and Long,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Evans and Fitch,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Fox and Kushner,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Hoefling and Schulin,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
La Riva and Puryear,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Maldonado and Terranova,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
McMullin and Johnson,Write-In,Presidential Electors for,Monroe,7,Fawn Hollow School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Skewes and Lacy,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Smith and White,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Wu and Wu,Write-In,Presidential Electors for,Monroe,0,Fawn Hollow School
Clinton and Kaine,Democratic Party,Presidential Electors for,Monroe,1386,Masuk High School
Trump and Pence,Republican Party,Presidential Electors for,Monroe,2072,Masuk High School
Johnson and Weld,Libertarian Party,Presidential Electors for,Monroe,124,Masuk High School
Stein and Baraka,Green Party,Presidential Electors for,Monroe,27,Masuk High School
Basiago and Kinnison,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Blumenthal and Blair,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Buchanan and Washington,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Castle and Bradley,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Cooper and Meyer,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Cummings and Romanoff,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Deame and Long,Write-In,Presidential Electors for,Monroe,0,Masuk High School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Evans and Fitch,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Fox and Kushner,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Hoefling and Schulin,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Monroe,0,Masuk High School
La Riva and Puryear,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Maldonado and Terranova,Write-In,Presidential Electors for,Monroe,0,Masuk High School
McMullin and Johnson,Write-In,Presidential Electors for,Monroe,3,Masuk High School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Skewes and Lacy,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Smith and White,Write-In,Presidential Electors for,Monroe,1,Masuk High School
Wu and Wu,Write-In,Presidential Electors for,Monroe,0,Masuk High School
Clinton and Kaine,Democratic Party,Presidential Electors for,Monroe,777,Monroe Elementary School
Trump and Pence,Republican Party,Presidential Electors for,Monroe,1131,Monroe Elementary School
Johnson and Weld,Libertarian Party,Presidential Electors for,Monroe,58,Monroe Elementary School
Stein and Baraka,Green Party,Presidential Electors for,Monroe,20,Monroe Elementary School
Basiago and Kinnison,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Blumenthal and Blair,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Buchanan and Washington,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Castle and Bradley,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Cooper and Meyer,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Cummings and Romanoff,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Deame and Long,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Evans and Fitch,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Fox and Kushner,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Hoefling and Schulin,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
La Riva and Puryear,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Maldonado and Terranova,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
McMullin and Johnson,Write-In,Presidential Electors for,Monroe,1,Monroe Elementary School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Skewes and Lacy,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Smith and White,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Wu and Wu,Write-In,Presidential Electors for,Monroe,0,Monroe Elementary School
Clinton and Kaine,Democratic Party,Presidential Electors for,Monroe,737,Stepney Elementary School
Trump and Pence,Republican Party,Presidential Electors for,Monroe,838,Stepney Elementary School
Johnson and Weld,Libertarian Party,Presidential Electors for,Monroe,51,Stepney Elementary School
Stein and Baraka,Green Party,Presidential Electors for,Monroe,17,Stepney Elementary School
Basiago and Kinnison,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Blumenthal and Blair,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Buchanan and Washington,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Castle and Bradley,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Cooper and Meyer,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Cummings and Romanoff,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Deame and Long,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Evans and Fitch,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Fox and Kushner,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Hoefling and Schulin,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
La Riva and Puryear,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Maldonado and Terranova,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
McMullin and Johnson,Write-In,Presidential Electors for,Monroe,6,Stepney Elementary School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Skewes and Lacy,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Smith and White,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Wu and Wu,Write-In,Presidential Electors for,Monroe,0,Stepney Elementary School
Clinton and Kaine,Democratic Party,Presidential Electors for,Montville,512,Fair Oaks School-Gym-3
Trump and Pence,Republican Party,Presidential Electors for,Montville,607,Fair Oaks School-Gym-3
Johnson and Weld,Libertarian Party,Presidential Electors for,Montville,50,Fair Oaks School-Gym-3
Stein and Baraka,Green Party,Presidential Electors for,Montville,25,Fair Oaks School-Gym-3
Basiago and Kinnison,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Blumenthal and Blair,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Buchanan and Washington,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Castle and Bradley,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Cooper and Meyer,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Cummings and Romanoff,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Deame and Long,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
De La Fuente and Steinberg,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Evans and Fitch,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Fox and Kushner,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Hoefling and Schulin,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Kotlikoff and Leamer,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
La Riva and Puryear,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Maldonado and Terranova,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
McMullin and Johnson,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Skewes and Lacy,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Smith and White,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Wu and Wu,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-3
Clinton and Kaine,Democratic Party,Presidential Electors for,Montville,1175,Fair Oaks School-Gym-4
Trump and Pence,Republican Party,Presidential Electors for,Montville,1572,Fair Oaks School-Gym-4
Johnson and Weld,Libertarian Party,Presidential Electors for,Montville,120,Fair Oaks School-Gym-4
Stein and Baraka,Green Party,Presidential Electors for,Montville,52,Fair Oaks School-Gym-4
Basiago and Kinnison,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Blumenthal and Blair,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Buchanan and Washington,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Castle and Bradley,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Cooper and Meyer,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Cummings and Romanoff,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Deame and Long,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
De La Fuente and Steinberg,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Evans and Fitch,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Fox and Kushner,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Hoefling and Schulin,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Kotlikoff and Leamer,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
La Riva and Puryear,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Maldonado and Terranova,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
McMullin and Johnson,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Skewes and Lacy,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Smith and White,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Wu and Wu,Write-In,Presidential Electors for,Montville,0,Fair Oaks School-Gym-4
Clinton and Kaine,Democratic Party,Presidential Electors for,Montville,360,Mohegan Elemantary School
Trump and Pence,Republican Party,Presidential Electors for,Montville,431,Mohegan Elemantary School
Johnson and Weld,Libertarian Party,Presidential Electors for,Montville,45,Mohegan Elemantary School
Stein and Baraka,Green Party,Presidential Electors for,Montville,21,Mohegan Elemantary School
Basiago and Kinnison,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Blumenthal and Blair,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Buchanan and Washington,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Castle and Bradley,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Cooper and Meyer,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Cummings and Romanoff,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Deame and Long,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Evans and Fitch,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Fox and Kushner,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Hoefling and Schulin,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
La Riva and Puryear,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Maldonado and Terranova,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
McMullin and Johnson,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Skewes and Lacy,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Smith and White,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Wu and Wu,Write-In,Presidential Electors for,Montville,0,Mohegan Elemantary School
Clinton and Kaine,Democratic Party,Presidential Electors for,Montville,554,Mohegan Elementary School
Trump and Pence,Republican Party,Presidential Electors for,Montville,665,Mohegan Elementary School
Johnson and Weld,Libertarian Party,Presidential Electors for,Montville,48,Mohegan Elementary School
Stein and Baraka,Green Party,Presidential Electors for,Montville,17,Mohegan Elementary School
Basiago and Kinnison,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Blumenthal and Blair,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Buchanan and Washington,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Castle and Bradley,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Cooper and Meyer,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Cummings and Romanoff,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Deame and Long,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
De La Fuente and Steinberg,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Evans and Fitch,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Fox and Kushner,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Hoefling and Schulin,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
Kotlikoff and Leamer,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
La Riva and Puryear,Write-In,Presidential Electors for,Montville,0,Mohegan Elementary School
